"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"600519.SH","20220331","1720","1738.6","1708.8","1719","1730.1","-11.1","-0.6416","25173.86","4338022.922"
"600519.SH","20220330","1698","1730.1","1695","1730.1","1667","63.1","3.7852","42433.43","7276379.091"
"600519.SH","20220329","1661.5","1691.5","1661.5","1667","1660.8","6.2","0.3733","25934.98","4343365.464"
"600519.SH","20220328","1625","1664.8","1604","1660.8","1690","-29.2","-1.7278","57541.64","9392008.017"
"600519.SH","20220325","1712","1734","1685","1690","1720.93","-30.93","-1.7973","29708.66","5054831.352"
"600519.SH","20220324","1738","1740","1717.35","1720.93","1752.19","-31.26","-1.7841","25815.32","4457504.43"
"600519.SH","20220323","1705","1770","1697","1752.19","1695","57.19","3.374","58067.39","10096341.448"
"600519.SH","20220322","1723.88","1723.88","1686.33","1695","1704.3","-9.3","-0.5457","21054.04","3578291.198"
"600519.SH","20220321","1724","1725.65","1695.01","1704.3","1707.79","-3.49","-0.2044","27877.16","4763083.283"
"600519.SH","20220318","1718","1745","1692.28","1707.79","1720.15","-12.36","-0.7185","38348.68","6564085.394"
"600519.SH","20220317","1720","1755","1711.66","1720.15","1674.95","45.2","2.6986","68351.96","11843531.813"
"600519.SH","20220316","1634","1683.9","1593","1674.95","1603","71.95","4.4885","77592.81","12753010.156"
"600519.SH","20220315","1650","1685","1603","1603","1700","-97","-5.7059","89055.87","14567142.622"
"600519.SH","20220314","1730","1750","1700","1700","1769.01","-69.01","-3.9011","49006.61","8416841.92"
"600519.SH","20220311","1766","1777","1718.08","1769.01","1794.43","-25.42","-1.4166","47726.77","8335618.341"
"600519.SH","20220310","1808","1821","1791","1794.43","1779.18","15.25","0.8571","36461.78","6587438.866"
"600519.SH","20220309","1764.1","1805","1721.11","1779.18","1753.2","25.98","1.4819","56434.42","10018590.069"
"600519.SH","20220308","1759.98","1786.66","1732","1753.2","1707","46.2","2.7065","57215.46","10087484.369"
"600519.SH","20220307","1760.2","1768","1703.8","1707","1780.5","-73.5","-4.1281","49155.81","8487507.372"
"600519.SH","20220304","1772","1792.89","1755.1","1780.5","1800","-19.5","-1.0833","31047.03","5509157.654"
"600519.SH","20220303","1845.8","1850.25","1794","1800","1844.88","-44.88","-2.4327","31546.93","5703580.558"
"600519.SH","20220302","1840","1850.99","1825","1844.88","1858.48","-13.6","-0.7318","20074.48","3690612.341"
"600519.SH","20220301","1802","1863.57","1802","1858.48","1790.4","68.08","3.8025","47379.3","8721229.267"
"600519.SH","20220228","1787.06","1797","1767","1790.4","1799.06","-8.66","-0.4814","28923.03","5158148.387"
"600519.SH","20220225","1775","1808.28","1775","1799.06","1764.11","34.95","1.9812","38979.13","6999524.161"
"600519.SH","20220224","1808","1813.99","1748.1","1764.11","1827.01","-62.9","-3.4428","65359.25","11578557.075"
"600519.SH","20220223","1811.41","1834","1800.08","1827.01","1807.87","19.14","1.0587","28111.61","5118197.82"
"600519.SH","20220222","1860.01","1861","1800.02","1807.87","1876.99","-69.12","-3.6825","52298.81","9473992.638"
"600519.SH","20220221","1900","1906.9","1868.95","1876.99","1907","-30.01","-1.5737","20815.73","3920377.358"
"600519.SH","20220218","1877.63","1907.98","1865.66","1907","1886.99","20.01","1.0604","19385.49","3670339.742"
"600519.SH","20220217","1900.61","1911.48","1881","1886.99","1892.55","-5.56","-0.2938","18213.66","3450265.032"
"600519.SH","20220216","1900","1907","1888","1892.55","1890.62","1.93","0.1021","14586.85","2769034.316"
"600519.SH","20220215","1868.8","1911","1859","1890.62","1868.67","21.95","1.1746","27105.86","5131842.112"
"600519.SH","20220214","1840","1877","1837.31","1868.67","1849.97","18.7","1.0108","20195.87","3762313.349"
"600519.SH","20220211","1857","1900.79","1841","1849.97","1873","-23.03","-1.2296","33746.49","6296909.575"
"600519.SH","20220210","1900","1905.9","1857.39","1873","1895.98","-22.98","-1.212","23031.83","4315456.868"
"600519.SH","20220209","1839.09","1908","1826.97","1895.98","1839","56.98","3.0984","33884.79","6346699.784"
"600519.SH","20220208","1868.88","1872.87","1790","1839","1867.96","-28.96","-1.5504","41713.06","7585130.459"
"600519.SH","20220207","1900.99","1913.56","1850","1867.96","1887","-19.04","-1.009","35150.42","6601799.703"
"600519.SH","20220128","1955","1968","1880.01","1887","1965","-78","-3.9695","41020.11","7889492.895"
